Datetime,solar_mw,wind-direction,wind-speed,humidity,average-wind-speed-(period),average-pressure-(period),temperature
03/08/2020 0:00,11385,27,7.5,75,8,29.82,69
02/08/2020 23:00,12390,27,7.5,77,5,29.85,69
02/08/2020 22:00,13312,27,7.5,70,0,29.89,69
02/08/2020 21:00,13832,27,7.5,33,0,29.91,69
02/08/2020 20:00,14038,27,7.5,21,3,29.89,69
02/08/2020 19:00,14453,27,7.5,20,23,29.85,69
02/08/2020 18:00,14898,27,7.5,36,15,29.83,69
02/08/2020 17:00,14924,27,7.5,49,6,29.86,69
02/08/2020 16:00,14791,27,6.8,67,6,29.86,72
02/08/2020 15:00,14941,28,6.8,49,0,29.87,72
02/08/2020 14:00,15244,28,6.8,54,0,29.9,72
02/08/2020 13:00,15191,28,6.8,64,0,29.92,72
02/08/2020 12:00,14666,28,6.8,23,9,29.88,72
02/08/2020 11:00,13966,28,6.8,30,18,29.84,72
02/08/2020 10:00,13232,28,6.8,65,11,29.84,72
02/08/2020 9:00,12555,28,6.8,75,5,29.85,72
02/08/2020 8:00,11850,28,7.9,72,6,29.84,73
02/08/2020 7:00,11181,28,7.9,78,6,29.86,73
02/08/2020 6:00,10490,28,7.9,63,0,29.88,73
02/08/2020 5:00,10058,28,7.9,69,3,29.88,73
02/08/2020 4:00,10082,28,7.9,33,10,29.84,73
02/08/2020 3:00,10353,28,7.9,27,20,29.81,73
02/08/2020 2:00,10830,28,7.9,53,14,29.81,73
02/08/2020 1:00,11457,28,7.9,70,6,29.85,73
02/08/2020 0:00,12362,31,6.9,73,0,29.83,76
01/08/2020 23:00,13569,30,6.9,78,6,29.82,76
01/08/2020 22:00,14687,30,6.9,70,0,29.84,76
01/08/2020 21:00,15461,30,6.9,64,3,29.85,76
01/08/2020 20:00,15973,30,6.9,62,6,29.79,76
01/08/2020 19:00,16638,30,6.9,30,15,29.75,76
01/08/2020 18:00,17131,30,6.9,27,17,29.74,76
01/08/2020 17:00,17208,30,6.9,33,5,29.77,76
01/08/2020 16:00,16713,30,8.5,53,3,29.77,77
01/08/2020 15:00,16345,26,8.5,70,7,29.76,77
01/08/2020 14:00,15987,26,8.5,61,0,29.8,77
